arm,condition,treatment_message_id,model,model_family,prompt_variant_number,treatment_message_word_count,valence_correct,gender,age,age_band,education,party_affiliation,political_party,political_ideology,political_knowledge,confinement-1,confinement-2-reversed,confinement-3,confinement-4,confinement_mean
Message 69,AI,ban_solitary_confinement_juveniles_falcon-40b_1,falcon-40b,falcon,1.0,176.0,1.0,Male,25,18-29,4-year college,Moderate Republican,3,4,2,65.0,10.0,70.0,35.0,45.0
Message 27,AI,ban_solitary_confinement_juveniles_Yi-9B_1,Yi-9B,Yi,1.0,293.0,1.0,Female,52,45-59,Technical certification or trade school,Moderate Democrat,1,1,2,60.0,60.0,40.0,40.0,50.0
Control,control,,,,,,,Female,29,18-29,High school diploma,Independent,2,1,1,18.0,17.0,17.0,18.0,17.5
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Female,37,30-44,High school diploma,Independent,2,2,1,28.0,19.0,13.0,4.0,16.0
Message 36,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_3,Qwen1.5-0.5B,Qwen1.5,3.0,298.0,0.0,Female,47,45-59,Graduate degree,Moderate Democrat,1,2,1,10.0,5.0,0.0,0.0,3.75
Message 30,AI,ban_solitary_confinement_juveniles_pythia-2.8b_3,pythia-2.8b,pythia,3.0,222.0,0.0,Male,26,18-29,Graduate degree,Independent,2,0,3,100.0,0.0,10.0,0.0,27.5
Message 11,AI,ban_solitary_confinement_juveniles_Qwen1.5-1.8B_1,Qwen1.5-1.8B,Qwen1.5,1.0,156.0,1.0,Female,22,18-29,4-year college,Moderate Democrat,1,1,3,18.0,15.0,25.0,10.0,17.0
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,28,18-29,High school diploma,Moderate Democrat,1,0,2,40.0,50.0,40.0,50.0,45.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,45,45-59,4-year college,Strong Democrat,0,0,3,11.0,10.0,0.0,0.0,5.25
Message 44,AI,ban_solitary_confinement_juveniles_pythia-12b_2,pythia-12b,pythia,2.0,345.0,0.0,Female,23,18-29,High school diploma,Moderate Democrat,1,1,2,29.0,14.0,44.0,22.0,27.25
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Female,28,18-29,4-year college,Independent,2,2,2,10.0,90.0,50.0,80.0,57.5
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,25,18-29,Graduate degree,Independent,2,2,1,100.0,100.0,100.0,100.0,100.0
Message 27,AI,ban_solitary_confinement_juveniles_Yi-9B_1,Yi-9B,Yi,1.0,293.0,1.0,Male,26,18-29,4-year college,Moderate Democrat,1,1,3,20.0,20.0,20.0,19.0,19.75
Message 35,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_1,Qwen1.5-7B,Qwen1.5,1.0,180.0,1.0,Male,39,30-44,Graduate degree,Moderate Democrat,1,2,3,80.0,70.0,23.0,61.0,58.5
Message 38,AI,ban_solitary_confinement_juveniles_pythia-1b_2,pythia-1b,pythia,2.0,88.0,0.0,Female,44,30-44,4-year college,Strong Republican,4,3,3,0.0,0.0,0.0,20.0,5.0
Message 12,AI,ban_solitary_confinement_juveniles_pythia-2.8b_2,pythia-2.8b,pythia,2.0,86.0,0.0,Female,44,30-44,2-year college,Moderate Republican,3,3,0,10.0,5.0,77.0,10.0,25.5
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,37,30-44,2-year college,Moderate Republican,3,3,3,50.0,80.0,80.0,50.0,65.0
Control,control,,,,,,,Male,21,18-29,4-year college,Moderate Democrat,1,1,1,84.0,5.0,62.0,14.0,41.25
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Female,26,18-29,High school diploma,Independent,2,2,0,100.0,0.0,0.0,100.0,50.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,32,30-44,4-year college,Moderate Democrat,1,2,2,30.0,60.0,60.0,30.0,45.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,44,30-44,Graduate degree,Strong Republican,4,3,3,100.0,100.0,100.0,0.0,75.0
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,31,30-44,4-year college,Moderate Democrat,1,1,2,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Male,36,30-44,2-year college,Moderate Democrat,1,1,3,0.0,0.0,0.0,0.0,0.0
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Female,38,30-44,2-year college,Moderate Democrat,1,1,3,5.0,5.0,5.0,5.0,5.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Male,19,18-29,2-year college,Moderate Republican,3,3,3,60.0,60.0,40.0,40.0,50.0
Message 44,AI,ban_solitary_confinement_juveniles_pythia-12b_2,pythia-12b,pythia,2.0,345.0,0.0,Female,38,30-44,2-year college,Independent,2,1,2,0.0,0.0,0.0,6.0,1.5
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,57,45-59,4-year college,Independent,2,1,2,71.0,72.0,71.0,72.0,71.5
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,54,45-59,4-year college,Independent,2,2,2,25.0,31.0,29.0,76.0,40.25
Control,control,,,,,,,Female,26,18-29,4-year college,Independent,2,0,3,0.0,0.0,0.0,0.0,0.0
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,48,45-59,2-year college,Strong Democrat,0,0,3,9.0,14.0,8.0,97.0,32.0
Control,control,,,,,,,Male,52,45-59,Graduate degree,"Other (Libertarian, Green, etc.)",2,0,3,0.0,0.0,0.0,0.0,0.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,32,30-44,High school diploma,Moderate Democrat,1,1,3,39.0,35.0,50.0,30.0,38.5
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,44,30-44,Graduate degree,Moderate Republican,3,3,3,80.0,20.0,90.0,85.0,68.75
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Female,54,45-59,Technical certification or trade school,Moderate Republican,3,2,3,55.0,41.0,45.0,45.0,46.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,42,30-44,4-year college,Independent,2,2,3,80.0,80.0,90.0,30.0,70.0
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Male,47,45-59,4-year college,Moderate Democrat,1,1,2,90.0,100.0,93.0,100.0,95.75
Control,control,,,,,,,Female,24,18-29,4-year college,Strong Democrat,0,0,2,60.0,58.0,55.0,43.0,54.0
Control,control,,,,,,,Female,26,18-29,High school diploma,Independent,2,2,0,0.0,0.0,100.0,100.0,50.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,43,30-44,4-year college,Strong Democrat,0,1,3,83.0,84.0,79.0,82.0,82.0
Message 54,AI,ban_solitary_confinement_juveniles_pythia-1.4b_1,pythia-1.4b,pythia,1.0,98.0,0.0,Female,56,45-59,Graduate degree,Strong Republican,4,4,3,29.0,27.0,11.0,18.0,21.25
Message 26,AI,ban_solitary_confinement_juveniles_pythia-2.8b_1,pythia-2.8b,pythia,1.0,193.0,0.0,Male,29,18-29,High school diploma,"Other (Libertarian, Green, etc.)",2,0,1,0.0,0.0,0.0,0.0,0.0
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,32,30-44,4-year college,Strong Democrat,0,4,3,100.0,100.0,100.0,100.0,100.0
Control,control,,,,,,,Male,35,30-44,Graduate degree,Independent,2,2,3,32.0,38.0,38.0,38.0,36.5
Message 61,AI,ban_solitary_confinement_juveniles_falcon-40b_3,falcon-40b,falcon,3.0,303.0,1.0,Male,34,30-44,Technical certification or trade school,Strong Democrat,0,0,1,0.0,0.0,0.0,0.0,0.0
Message 19,AI,ban_solitary_confinement_juveniles_Qwen1.5-4B_1,Qwen1.5-4B,Qwen1.5,1.0,143.0,1.0,Female,52,45-59,High school diploma,"Other (Libertarian, Green, etc.)",2,2,1,71.0,76.0,30.0,29.0,51.5
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,20,18-29,2-year college,Moderate Democrat,1,1,3,50.0,35.0,39.0,34.0,39.5
Message 65,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_1,Qwen1.5-14B,Qwen1.5,1.0,266.0,1.0,Female,41,30-44,Graduate degree,"Other (Libertarian, Green, etc.)",2,3,3,100.0,100.0,69.0,97.0,91.5
Control,control,,,,,,,Female,43,30-44,4-year college,Strong Republican,4,2,3,88.0,85.0,85.0,100.0,89.5
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,34,30-44,Graduate degree,Moderate Democrat,1,1,2,25.0,25.0,25.0,77.0,38.0
Control,control,,,,,,,Female,19,18-29,High school diploma,Independent,2,3,3,72.0,62.0,57.0,42.0,58.25
Message 24,AI,ban_solitary_confinement_juveniles_pythia-12b_3,pythia-12b,pythia,3.0,223.0,0.0,Male,18,18-29,2-year college,Independent,2,3,3,0.0,0.0,0.0,0.0,0.0
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,31,30-44,High school diploma,Independent,2,2,3,0.0,0.0,0.0,0.0,0.0
Message 36,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_3,Qwen1.5-0.5B,Qwen1.5,3.0,298.0,0.0,Female,27,18-29,Technical certification or trade school,Moderate Democrat,1,1,3,100.0,89.0,96.0,92.0,94.25
Message 06,AI,ban_solitary_confinement_juveniles_Qwen1.5-1.8B_3,Qwen1.5-1.8B,Qwen1.5,3.0,203.0,0.0,Female,31,30-44,High school diploma,Strong Democrat,0,0,2,100.0,0.0,0.0,0.0,25.0
Control,control,,,,,,,Female,34,30-44,4-year college,Independent,2,1,1,60.0,60.0,40.0,60.0,55.0
Control,control,,,,,,,Male,31,30-44,4-year college,Strong Democrat,0,1,3,0.0,0.0,0.0,0.0,0.0
Message 16,AI,ban_solitary_confinement_juveniles_Yi-9B_3,Yi-9B,Yi,3.0,196.0,1.0,Female,26,18-29,Graduate degree,Strong Democrat,0,0,3,3.0,12.0,27.0,8.0,12.5
Message 42,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_3,Llama-2-7b-hf,Llama,3.0,222.0,1.0,Female,27,18-29,Did not graduate high school,"Other (Libertarian, Green, etc.)",2,2,0,100.0,100.0,100.0,100.0,100.0
Message 41,AI,ban_solitary_confinement_juveniles_pythia-70m_2,pythia-70m,pythia,2.0,145.0,0.0,Male,34,30-44,4-year college,Independent,2,3,2,85.0,82.0,70.0,26.0,65.75
Control,control,,,,,,,Female,30,30-44,Graduate degree,Strong Democrat,0,1,1,12.0,14.0,14.0,12.0,13.0
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,25,18-29,4-year college,Moderate Republican,3,3,3,90.0,90.0,80.0,80.0,85.0
Message 65,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_1,Qwen1.5-14B,Qwen1.5,1.0,266.0,1.0,Female,34,30-44,High school diploma,Moderate Republican,3,2,1,7.0,0.0,13.0,4.0,6.0
Message 48,AI,ban_solitary_confinement_juveniles_falcon-40b_2,falcon-40b,falcon,2.0,213.0,1.0,Female,40,30-44,2-year college,Moderate Democrat,1,0,3,50.0,45.0,45.0,45.0,46.25
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,23,18-29,Graduate degree,Moderate Democrat,1,0,3,20.0,30.0,15.0,75.0,35.0
Message 34,AI,ban_solitary_confinement_juveniles_Yi-6B_2,Yi-6B,Yi,2.0,286.0,1.0,Female,20,18-29,High school diploma,Strong Democrat,0,0,1,80.0,25.0,30.0,40.0,43.75
Control,control,,,,,,,Female,38,30-44,High school diploma,Moderate Democrat,1,0,1,10.0,10.0,5.0,10.0,8.75
Message 59,AI,ban_solitary_confinement_juveniles_Qwen1.5-4B_3,Qwen1.5-4B,Qwen1.5,3.0,267.0,1.0,Non-binary / third gender,33,30-44,Graduate degree,"Other (Libertarian, Green, etc.)",2,0,0,0.0,0.0,0.0,0.0,0.0
Message 43,AI,ban_solitary_confinement_juveniles_pythia-160m_1,pythia-160m,pythia,1.0,14.0,0.0,Male,24,18-29,4-year college,Independent,2,2,3,67.0,21.0,19.0,28.0,33.75
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,24,18-29,4-year college,Moderate Democrat,1,1,3,60.0,15.0,18.0,18.0,27.75
Message 48,AI,ban_solitary_confinement_juveniles_falcon-40b_2,falcon-40b,falcon,2.0,213.0,1.0,Female,31,30-44,4-year college,Strong Democrat,0,0,3,20.0,13.0,16.0,12.0,15.25
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,31,30-44,High school diploma,Moderate Democrat,1,2,1,50.0,50.0,0.0,73.0,43.25
Message 38,AI,ban_solitary_confinement_juveniles_pythia-1b_2,pythia-1b,pythia,2.0,88.0,0.0,Female,38,30-44,4-year college,Independent,2,1,3,90.0,10.0,15.0,100.0,53.75
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,62,60+,High school diploma,Strong Republican,4,3,3,70.0,60.0,70.0,30.0,57.5
Control,control,,,,,,,Male,60,60+,2-year college,Moderate Republican,3,3,2,20.0,40.0,18.0,71.0,37.25
Message 68,AI,ban_solitary_confinement_juveniles_pythia-410m_2,pythia-410m,pythia,2.0,177.0,0.0,Male,43,30-44,Graduate degree,Independent,2,2,2,25.0,24.0,13.0,75.0,34.25
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,42,30-44,Graduate degree,Moderate Republican,3,3,3,100.0,100.0,100.0,100.0,100.0
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,31,30-44,2-year college,Independent,2,2,3,50.0,50.0,45.0,50.0,48.75
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Male,31,30-44,4-year college,Moderate Democrat,1,0,3,0.0,10.0,16.0,0.0,6.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,68,60+,2-year college,Strong Democrat,0,1,3,75.0,75.0,60.0,50.0,65.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,63,60+,Graduate degree,Independent,2,2,3,100.0,100.0,100.0,0.0,75.0
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,49,45-59,High school diploma,Strong Democrat,0,0,3,10.0,10.0,15.0,95.0,32.5
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,32,30-44,4-year college,Moderate Republican,3,3,1,99.0,76.0,39.0,97.0,77.75
Control,control,,,,,,,Female,41,30-44,High school diploma,Independent,2,2,2,19.0,96.0,5.0,2.0,30.5
Message 69,AI,ban_solitary_confinement_juveniles_falcon-40b_1,falcon-40b,falcon,1.0,176.0,1.0,Female,24,18-29,Technical certification or trade school,Independent,2,4,0,60.0,40.0,20.0,29.0,37.25
Control,control,,,,,,,Male,24,18-29,4-year college,Independent,2,2,2,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Female,67,60+,4-year college,Moderate Democrat,1,1,3,72.0,50.0,37.0,40.0,49.75
Message 27,AI,ban_solitary_confinement_juveniles_Yi-9B_1,Yi-9B,Yi,1.0,293.0,1.0,Female,71,60+,4-year college,Strong Democrat,0,0,3,70.0,70.0,60.0,60.0,65.0
Message 45,AI,ban_solitary_confinement_juveniles_pythia-6.9b_3,pythia-6.9b,pythia,3.0,255.0,0.0,Male,48,45-59,4-year college,Moderate Republican,3,3,2,19.0,8.0,35.0,85.0,36.75
Control,control,,,,,,,Female,24,18-29,High school diploma,Moderate Democrat,1,1,1,50.0,45.0,45.0,45.0,46.25
Message 08,AI,ban_solitary_confinement_juveniles_pythia-70m_3,pythia-70m,pythia,3.0,61.0,1.0,Female,43,30-44,Graduate degree,Strong Democrat,0,1,3,10.0,90.0,10.0,10.0,30.0
Message 61,AI,ban_solitary_confinement_juveniles_falcon-40b_3,falcon-40b,falcon,3.0,303.0,1.0,Female,26,18-29,Graduate degree,Strong Democrat,0,0,2,30.0,14.0,23.0,27.0,23.5
Message 65,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_1,Qwen1.5-14B,Qwen1.5,1.0,266.0,1.0,Female,59,45-59,2-year college,Strong Democrat,0,0,3,80.0,20.0,30.0,80.0,52.5
Message 67,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_3,Qwen1.5-14B,Qwen1.5,3.0,262.0,1.0,Female,55,45-59,Graduate degree,Independent,2,1,2,61.0,48.0,54.0,52.0,53.75
Message 69,AI,ban_solitary_confinement_juveniles_falcon-40b_1,falcon-40b,falcon,1.0,176.0,1.0,Female,55,45-59,High school diploma,Strong Democrat,0,0,3,50.0,50.0,82.0,100.0,70.5
Control,control,,,,,,,Female,60,60+,Technical certification or trade school,Independent,2,3,3,0.0,0.0,0.0,100.0,25.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,42,30-44,2-year college,Moderate Democrat,1,1,2,50.0,50.0,50.0,50.0,50.0
Message 36,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_3,Qwen1.5-0.5B,Qwen1.5,3.0,298.0,0.0,Male,57,45-59,4-year college,Strong Republican,4,4,3,63.0,67.0,67.0,70.0,66.75
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,24,18-29,High school diploma,Independent,2,2,3,40.0,60.0,50.0,40.0,47.5
Control,control,,,,,,,Female,32,30-44,High school diploma,Independent,2,0,3,20.0,16.0,19.0,10.0,16.25
Control,control,,,,,,,Female,34,30-44,Graduate degree,Independent,2,0,3,0.0,0.0,0.0,0.0,0.0
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Male,22,18-29,High school diploma,Independent,2,2,2,73.0,71.0,77.0,79.0,75.0
Message 55,AI,ban_solitary_confinement_juveniles_pythia-12b_1,pythia-12b,pythia,1.0,316.0,0.0,Female,47,45-59,High school diploma,Independent,2,2,3,100.0,0.0,100.0,0.0,50.0
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Male,37,30-44,2-year college,"Other (Libertarian, Green, etc.)",2,2,3,80.0,80.0,80.0,80.0,80.0
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,19,18-29,High school diploma,Independent,2,2,3,15.0,15.0,15.0,15.0,15.0
Message 16,AI,ban_solitary_confinement_juveniles_Yi-9B_3,Yi-9B,Yi,3.0,196.0,1.0,Female,34,30-44,High school diploma,Independent,2,4,3,7.0,8.0,11.0,11.0,9.25
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,29,18-29,4-year college,Independent,2,1,3,20.0,80.0,66.0,50.0,54.0
Message 68,AI,ban_solitary_confinement_juveniles_pythia-410m_2,pythia-410m,pythia,2.0,177.0,0.0,Female,24,18-29,4-year college,Moderate Democrat,1,1,3,86.0,89.0,93.0,14.0,70.5
Message 48,AI,ban_solitary_confinement_juveniles_falcon-40b_2,falcon-40b,falcon,2.0,213.0,1.0,Male,26,18-29,High school diploma,Strong Democrat,0,0,3,0.0,100.0,0.0,80.0,45.0
Control,control,,,,,,,Male,60,60+,High school diploma,Strong Republican,4,4,3,84.0,82.0,15.0,97.0,69.5
Message 35,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_1,Qwen1.5-7B,Qwen1.5,1.0,180.0,1.0,Non-binary / third gender,22,18-29,4-year college,"Other (Libertarian, Green, etc.)",2,0,1,0.0,100.0,50.0,100.0,62.5
Message 18,AI,ban_solitary_confinement_juveniles_falcon-7b_3,falcon-7b,falcon,3.0,250.0,0.0,Female,34,30-44,Graduate degree,Moderate Democrat,1,1,3,85.0,15.0,15.0,18.0,33.25
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,22,18-29,High school diploma,Moderate Democrat,1,1,2,100.0,100.0,100.0,100.0,100.0
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,35,30-44,4-year college,Independent,2,0,3,49.0,38.0,59.0,48.0,48.5
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,27,18-29,High school diploma,Strong Democrat,0,0,2,17.0,12.0,4.0,0.0,8.25
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Female,41,30-44,High school diploma,"Other (Libertarian, Green, etc.)",2,2,1,60.0,60.0,51.0,40.0,52.75
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Male,41,30-44,Graduate degree,Independent,2,1,3,6.0,3.0,4.0,5.0,4.5
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Female,33,30-44,4-year college,Strong Democrat,0,0,1,0.0,0.0,9.0,0.0,2.25
Message 17,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_2,Llama-2-7b-hf,Llama,2.0,244.0,0.0,Female,24,18-29,Graduate degree,Strong Democrat,0,0,1,25.0,25.0,10.0,10.0,17.5
Message 25,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_1,Llama-2-7b-hf,Llama,1.0,245.0,1.0,Female,37,30-44,High school diploma,Moderate Democrat,1,2,0,33.0,32.0,26.0,24.0,28.75
Message 47,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_2,Qwen1.5-0.5B,Qwen1.5,2.0,148.0,0.0,Female,30,30-44,4-year college,Strong Democrat,0,0,2,100.0,99.0,0.0,0.0,49.75
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Male,18,18-29,Technical certification or trade school,Strong Republican,4,4,3,100.0,100.0,82.0,100.0,95.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,31,30-44,4-year college,Moderate Democrat,1,1,2,85.0,15.0,15.0,15.0,32.5
Message 66,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_2,Qwen1.5-7B,Qwen1.5,2.0,181.0,1.0,Female,28,18-29,4-year college,Strong Democrat,0,0,2,0.0,0.0,20.0,0.0,5.0
Message 64,AI,ban_solitary_confinement_juveniles_Yi-9B_2,Yi-9B,Yi,2.0,182.0,0.0,Male,37,30-44,Graduate degree,"Other (Libertarian, Green, etc.)",2,0,3,9.0,7.0,9.0,9.0,8.5
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Male,43,30-44,Graduate degree,Strong Democrat,0,1,3,60.0,60.0,40.0,60.0,55.0
Message 55,AI,ban_solitary_confinement_juveniles_pythia-12b_1,pythia-12b,pythia,1.0,316.0,0.0,Male,18,18-29,High school diploma,"Other (Libertarian, Green, etc.)",2,0,1,20.0,30.0,26.0,18.0,23.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,29,18-29,2-year college,Moderate Republican,3,2,3,80.0,70.0,90.0,100.0,85.0
Message 63,AI,ban_solitary_confinement_juveniles_pythia-6.9b_1,pythia-6.9b,pythia,1.0,151.0,1.0,Female,37,30-44,Graduate degree,Moderate Republican,3,3,0,80.0,39.0,21.0,53.0,48.25
Message 12,AI,ban_solitary_confinement_juveniles_pythia-2.8b_2,pythia-2.8b,pythia,2.0,86.0,0.0,Female,33,30-44,2-year college,Strong Democrat,0,1,3,0.0,0.0,0.0,0.0,0.0
Message 25,AI,ban_solitary_confinement_juveniles_Llama-2-7b-hf_1,Llama-2-7b-hf,Llama,1.0,245.0,1.0,Female,36,30-44,4-year college,Moderate Democrat,1,1,3,82.0,72.0,38.0,31.0,55.75
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,29,18-29,4-year college,Strong Republican,4,4,3,97.0,94.0,82.0,94.0,91.75
Control,control,,,,,,,Female,25,18-29,4-year college,Strong Republican,4,4,2,81.0,82.0,18.0,29.0,52.5
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,30,30-44,4-year college,Moderate Democrat,1,1,3,10.0,20.0,25.0,80.0,33.75
Control,control,,,,,,,Female,25,18-29,4-year college,Strong Democrat,0,1,3,0.0,100.0,0.0,0.0,25.0
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,42,30-44,4-year college,"Other (Libertarian, Green, etc.)",2,2,1,68.0,69.0,71.0,70.0,69.5
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Female,50,45-59,4-year college,Independent,2,3,3,90.0,10.0,20.0,22.0,35.5
